Name,Address,Type,Description,Image_URL
TCU Campus,2800 S University Dr Fort Worth TX,school,The campus where I go to college and spend most of my time.,https://upload.wikimedia.org/wikipedia/commons/8/8a/TCU_campus.jpg
City Boots Fort Worth,2416 W 7th St Fort Worth TX,store,A western boot company where I work and help with marketing and operations.,https://cityboots.com/cdn/shop/files/cityboots_storefront.jpg
Mi Cocina,4601 West Fwy Fort Worth TX,restaurant,A popular Tex Mex restaurant where people love the margaritas and nachos.,https://upload.wikimedia.org/wikipedia/commons/4/45/Tex_Mex_food.jpg
Indigo Yoga,5111 Pershing Ave Fort Worth TX,fitness,A yoga studio in Fort Worth that offers classes and community events.,https://upload.wikimedia.org/wikipedia/commons/3/3e/Yoga_class.jpg
Flower Child,1616 S University Dr Fort Worth TX,restaurant,"A healthy restaurant near campus with bowls, salads, and gluten free options.",https://upload.wikimedia.org/wikipedia/commons/6/6f/Healthy_food_bowl.jpg
Mamaka Bowls,1212 S University Dr Fort Worth TX,cafe,A smoothie and acai bowl shop near TCU that is popular with students.,https://upload.wikimedia.org/wikipedia/commons/4/45/Acai_bowl.jpg
Curly's Frozen Custard,3501 Blue Bonnet Cir Fort Worth TX,dessert,A classic Fort Worth spot for frozen custard and sweet treats.,https://upload.wikimedia.org/wikipedia/commons/6/65/Ice_cream_sundae.jpg
Fort Worth Stockyards,131 E Exchange Ave Fort Worth TX,landmark,"A historic district known for cattle drives, western stores, and rodeos.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Fort_Worth_Stockyards.jpg
Eatzi's Market & Bakery,1540 S University Dr Fort Worth TX,restaurant,A gourmet market and cafe where people grab prepared meals and desserts.,https://upload.wikimedia.org/wikipedia/commons/0/0f/Prepared_food_display.jpg
Fort Worth Zoo,1989 Colonial Pkwy Fort Worth TX,attraction,A large zoo in Fort Worth with animals from all over the world.,https://upload.wikimedia.org/wikipedia/commons/1/16/Zoo_animals.jpg